Country Code,Country Name,Region ID,Region Name,Income Group Acronym,Income Group Name,Transaction Type ID,Transaction Type Name,Fiscal Year,current_amount,constant_amount
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,1999,19000,31338
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2000,50000,80787
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2004,1000,1487
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2005,29270,42255
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2006,1000,1398
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2007,97937,133274
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2008,11138,14847
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2009,5258,6938
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2018,100000,114191
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2019,75000,83998
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2020,1296710,1433164
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2004,1000,1487
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2005,29270,42255
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2006,1000,1398
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2007,61577,83794
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2008,11138,14847
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2009,5258,6938
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2022,175,175
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2006,1010780000,1413206677
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2007,1827785000,2487280793
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2008,1118106000,1490452938
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2009,2713193000,3580345749
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2010,4144868000,5422431199
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2011,13781695000,17673409892
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2012,3401639000,4283683995
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2013,7718829000,9545636217
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2014,6070245256,7364412190
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2015,10978130000,13167691312
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2016,4541138000,5402092464
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2017,852064000,995827560
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2018,701627000,801195939
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2019,476533000,533705093
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2020,332300000,367268202
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2021,282500000,302073745
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2022,155881000,155881000
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1950,1000,9739
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1951,100000,924596
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1952,300000,2666126
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1953,2200000,19199307
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1954,2500000,21563356
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1955,2000000,17121686
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1956,18301000,152726635
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1957,21000000,168979553
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1958,14301000,111719908
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1959,27400000,210780819
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1960,10700000,81220675
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1961,32000000,239581450
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1962,40401000,299452498
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1963,18633000,136501087
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1964,42054000,304184964
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1965,34067000,242239261
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1966,33417000,232625917
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1967,32862000,222012429
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1968,16592000,108316774
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1969,15672000,97847047
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1970,8701000,51563150
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1971,13855000,78135250
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1972,35939000,193492870
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1973,38808000,200290633
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1974,14242000,68611135
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1975,21491000,93840556
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1976,8959000,36570726
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1976tq,4501000,17841074
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1977,21665000,82475014
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1978,11771000,41980232
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1979,10616000,35033356
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1985,3369000,7794565
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1986,8897000,20129343
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1987,2581000,5712220
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1988,28946000,62056006
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1989,57382000,118228326
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1990,15222050,30254306
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1991,20140068,38650393
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1992,31593344,59151797
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1993,38124000,69740780
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1994,2462000,4407728
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1995,12553400,22008209
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1996,16548000,28476219
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1997,32554664,55043083
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1998,8526376,14238518
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1999,35382262,58358718
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2000,54072046,87365830
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2001,91934518,145024597
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2002,508468566,789634322
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2003,983817162,1499178310
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2004,1940018313,2885737132
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2005,1729925029,2497414407
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2006,3004061332,4200082636
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2007,4980126264,6777040194
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2008,8858275580,11808221055
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2009,8964422981,11829506283
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2010,10873598845,14225143372
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2011,13418283535,17207377228
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2012,13096026384,16491826046
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2013,9743508409,12049494350
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2014,7177997980,8708336075
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2015,8320615042,9980141470
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2016,5077690991,6040370524
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2017,5780804337,6756164178
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2018,5932310297,6774173330
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2019,4896055244,5483459960
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2020,3979122926,4397849293
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2021,1402776222,1499971207
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2022,1389022902,1389022902
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,2023,815109645,777450256
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2001,40790880,64346680
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2002,400296708,621647102
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2003,709293613,1080848795
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2004,1240018130,1844501336
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2005,1661363692,2398435516
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2006,3357300942,4693959200
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2007,4900576456,6668787448
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2008,8334697744,11110283529
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2009,8560185509,11296072106
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2010,7841928877,10259028656
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2011,11401288235,14620816980
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2012,10108565211,12729716166
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2013,9965857255,12324466270
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2014,7000739854,8493286805
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2015,9353037836,11218478419
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2016,4362672439,5189791611
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2017,5047224571,5898811946
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2018,5163059563,5895757030
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2019,4687408713,5249781032
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2020,3742546047,4136377238
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2021,1026824583,1097970796
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2022,1866091307,1866091307
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,3,Disbursements,2023,1181249779,1126674117
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2008,1067050000,1422394481
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2009,2033950000,2684012612
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2010,2777000000,3632948372
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2011,3923734000,5031729352
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2012,3213380000,4046609437
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2013,2505020000,3097880474
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2014,2193950000,2661696762
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2015,1594850000,1912938949
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2016,1514055000,1801104723
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2017,4704400000,5498144704
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2018,782800000,893888319
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2019,632800000,708720242
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2020,532800000,588866982
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2021,371800000,397561129
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2022,363800000,363800000
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2023,268000000,255617968
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,18,President's Budget Requests,2024,142881000,133133589
AFR,Africa Region,7,World,NULL,NULL,1,Appropriated and Planned,2021,33000000,35286491
AFR,Africa Region,7,World,NULL,NULL,1,Appropriated and Planned,2022,48472000,48472000
AFR,Africa Region,7,World,NULL,NULL,1,Appropriated and Planned,2023,70439000,67184604
AFR,Africa Region,7,World,NULL,NULL,18,President's Budget Requests,2022,33000000,33000000
AFR,Africa Region,7,World,NULL,NULL,18,President's Budget Requests,2023,44555000,42496487
AFR,Africa Region,7,World,NULL,NULL,18,President's Budget Requests,2024,66737079,62184242
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2006,32171000,44979394
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2007,42060000,57235960
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2008,42203000,56257266
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2009,55967000,73854388
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2010,84115000,110041573
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2011,60871000,78059931
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2012,59735000,75224286
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2013,53676000,66379442
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2014,54788000,66468717
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2015,55146000,66144735
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2016,51612000,61397120
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2017,43942000,51356067
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2018,42023000,47986546
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2019,33619000,37652442
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2020,45360000,50133270
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2021,37966000,40596573
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,1,Appropriated and Planned,2022,41678000,41678000
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1977,188000,715684
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1978,967000,3448720
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1979,1543000,5091981
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1980,6200000,18818173
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1981,3830000,10586302
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1982,2328000,6017345
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1983,1060000,2625089
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1984,2726000,6517661
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1985,4212000,9744941
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1986,3315000,7500143
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1987,3397000,7518176
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1988,4096000,8781227
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1989,2232000,4598753
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1990,2075000,4124128
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1991,6847000,13139937
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1992,35943600,67296724
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1993,43959600,80415926
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1994,61463686,110038700
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1995,44895920,78710053
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1996,92103220,158493556
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1997,53379800,90254003
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1998,73787225,123220066
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,1999,54042484,89136475
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2000,105389883,170281598
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2001,77212847,121801497
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2002,124460349,193282675
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2003,165112162,251604241
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2004,119612466,177921069
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2005,67468496,97401207
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2006,80922579,113140672
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2007,53495364,72797398
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2008,57528112,76685881
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2009,54411931,71802301
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2010,99874061,130658009
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2011,82097868,105280904
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2012,74168277,93400118
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2013,54990419,68004923
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2014,57881179,70221355
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2015,58325764,69958687
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2016,67116257,79840816
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2017,75948565,88762901
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2018,50583613,57762005
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2019,50432741,56483413
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2020,63191975,69841716
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2021,47447647,50735180
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2022,82342011,82342011
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,2,Obligations,2023,40228916,38370273
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2001,64401962,101592616
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2002,111013573,172400288
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2003,149130501,227250762
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2004,129103513,192038801
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2005,84238958,121611957
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2006,61667189,86219035
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2007,43330314,58964617
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2008,55604064,74121097
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2009,48749820,64330545
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2010,61198658,80061768
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2011,68050324,87266580
AGO,Angola,5,Sub-Saharan Africa,LMIC,Lower Middle Income Country,3,Disbursements,2012,80945049,101934106
